dictionary_id,fuel_type,hull_status,split
10000,BIOMASS,interior,train
10001,CCGT,interior,train
10001,OCGT,interior,train
10004,BIOMASS,interior,val
10004,COAL,interior,val
10004,OCGT,interior,val
10007,COAL,interior,train
10007,OCGT,interior,train
10010,BIOMASS,interior,train
10011,COAL,interior,train
10011,OCGT,interior,train
10012,COAL,interior,test
10012,OCGT,interior,test
10013,BIOMASS,interior,train
10014,CCGT,interior,train
10014,COAL,interior,train
10014,OCGT,interior,train
10021,CCGT,interior,train
10026,CCGT,interior,val
10027,CCGT,interior,train
10029,CCGT,interior,train
10030,CCGT,interior,test
10031,CCGT,interior,train
10032,CCGT,interior,train
10033,CCGT,interior,test
10036,CCGT,interior,test
10038,CCGT,interior,train
10039,CCGT,interior,test
10039,OCGT,interior,test
10040,CCGT,interior,train
10042,CCGT,interior,train
10043,CCGT,interior,train
10044,CCGT,interior,val
10044,OCGT,interior,val
10045,CCGT,interior,train
10046,CCGT,interior,train
10047,CCGT,interior,train
10048,CCGT,interior,train
10049,CCGT,interior,train
10051,CCGT,interior,val
10052,CCGT,interior,train
10053,CCGT,interior,train
10054,CCGT,interior,val
10055,CCGT,interior,train
10056,CCGT,interior,train
10057,CCGT,interior,train
10058,CCGT,interior,test
10059,CCGT,interior,val
10064,CCGT,interior,train
10065,CCGT,interior,test
10066,CCGT,interior,val
10067,CCGT,interior,train
10068,CCGT,interior,train
10070,CCGT,interior,train
10078,RECIPROCATING,interior,train
10083,OCGT,interior,train
10088,RECIPROCATING,interior,train
10089,RECIPROCATING,interior,train
10091,OCGT,interior,train
10097,OCGT,boundary,train
10101,CCGT,interior,train
10104,OCGT,interior,train
10107,NPSHYD,interior,train
10108,NPSHYD,interior,train
10109,NPSHYD,interior,train
10110,NPSHYD,interior,train
10115,NPSHYD,interior,train
10116,NPSHYD,interior,val
10117,NPSHYD,interior,test
10118,NPSHYD,interior,train
10119,NPSHYD,interior,train
10120,NPSHYD,interior,test
10122,NPSHYD,interior,val
10123,NPSHYD,interior,train
10125,NPSHYD,interior,train
10128,NUCLEAR,boundary,train
10130,NUCLEAR,interior,test
10131,NUCLEAR,interior,train
10133,NUCLEAR,interior,val
10134,NUCLEAR,interior,train
10136,NUCLEAR,interior,train
10138,NUCLEAR,interior,train
10139,NUCLEAR,interior,train
10143,PS,interior,train
10144,PS,interior,train
10145,PS,interior,train
10146,PS,interior,train
10147,WIND,interior,train
10148,WIND,interior,train
10149,WIND,interior,train
10150,WIND,interior,test
10151,WIND,interior,train
10152,WIND,interior,train
10153,WIND,interior,val
10154,WIND,interior,val
10155,WIND,boundary,train
10156,WIND,interior,test
10157,WIND,interior,test
10158,WIND,interior,train
10159,WIND,interior,train
10160,WIND,interior,train
10161,WIND,interior,train
10162,WIND,interior,train
10163,WIND,interior,val
10166,WIND,interior,test
10167,WIND,interior,train
10169,WIND,interior,train
10171,WIND,interior,train
10172,WIND,interior,test
10173,WIND,interior,train
10174,WIND,interior,train
10175,WIND,interior,train
10176,WIND,interior,test
10177,WIND,interior,val
10178,WIND,interior,train
10179,WIND,interior,train
10180,WIND,interior,train
10181,WIND,interior,train
10183,WIND,interior,val
10184,WIND,interior,val
10185,WIND,interior,train
10186,WIND,interior,test
10187,WIND,interior,test
10188,WIND,boundary,train
10189,WIND,interior,train
10190,WIND,interior,test
10191,WIND,interior,val
10192,WIND,interior,test
10193,WIND,interior,train
10194,WIND,interior,train
10195,WIND,interior,train
10196,WIND,interior,train
10197,WIND,interior,val
10198,WIND,interior,train
10199,WIND,interior,train
10200,WIND,interior,val
10201,WIND,interior,test
10202,WIND,interior,train
10204,WIND,interior,train
10206,WIND,interior,val
10208,WIND,interior,train
10209,WIND,interior,val
10210,WIND,interior,train
10211,WIND,interior,train
10212,WIND,interior,train
10213,WIND,interior,test
10214,WIND,interior,train
10215,WIND,boundary,train
10216,WIND,interior,train
10217,WIND,interior,train
10218,WIND,interior,train
10219,WIND,interior,train
10220,WIND,interior,test
10221,WIND,interior,train
10222,WIND,interior,val
10223,WIND,interior,train
10224,WIND,interior,test
10225,WIND,interior,val
10226,WIND,interior,test
10227,WIND,interior,train
10229,WIND,interior,train
10231,WIND,interior,train
10232,WIND,interior,train
10233,WIND,interior,train
10234,WIND,boundary,train
10235,WIND,interior,train
10238,WIND,interior,train
10239,WIND,interior,train
10240,WIND,interior,train
10242,WIND,interior,train
10243,WIND,interior,train
10244,WIND,interior,train
10246,WIND,interior,train
10248,WIND,interior,val
10250,WIND,interior,train
10252,WIND,interior,train
10284,WIND,interior,train
10288,WIND,boundary,train
10289,WIND,interior,train
10290,WIND,interior,train
10291,WIND,interior,train
10292,WIND,interior,train
10294,WIND,interior,val
10295,WIND,interior,train
10296,WIND,interior,train
10297,WIND,interior,train
10298,WIND,interior,train
10299,WIND,interior,train
10300,WIND,boundary,train
10301,WIND,boundary,train
10302,WIND,interior,train
10303,WIND,interior,train
10304,WIND,boundary,train
10305,WIND,interior,test
10306,WIND,interior,train
10307,WIND,interior,train
10308,WIND,interior,val
10309,WIND,interior,train
10310,WIND,interior,train
